id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1627015243112255488,1627015243112255488,2023-02-19 00:10:37 IST,2023-02-19,00:10:37,+0530,1569329011825987587,dronapeople,DRONA PEOPLE,,#drona #selfmade #spreadliteracy #health #education #banking #politicalsectors #confidence #affilataion #teamsprit #india #innervoice #leader #rising #shine #respect #standstrong #youaredrona #dronapeople  https://t.co/5zBAw9sfFg,qme,[],[],['https://pbs.twimg.com/media/FpRRu3RagAAvHah.jpg'],0,0,0,"['drona', 'selfmade', 'spreadliteracy', 'health', 'education', 'banking', 'politicalsectors', 'confidence', 'affilataion', 'teamsprit', 'india', 'innervoice', 'leader', 'rising', 'shine', 'respect', 'standstrong', 'youaredrona', 'dronapeople']",[],https://twitter.com/DronaPeople/status/1627015243112255488,False,,1,https://pbs.twimg.com/media/FpRRu3RagAAvHah.jpg,,,,,,,[],,,,
1626999197106073600,1626789854469300226,2023-02-18 23:06:51 IST,2023-02-18,23:06:51,+0530,1457893897087201284,charliweb3,Charli,,"@goddeketal Hang in there Dr! I do believe you'll ultimately b rewarded - both personally &amp; professionally! Pls remember, you've already saved thousands &amp; thousands of lives w/your efforts. Far more than most Docs ever will..even w/a lifetime of practice! #StandStrong #YourAHero #1stDoNoHarm",en,[],[],[],0,1,1,"['standstrong', 'yourahero', '1stdonoharm']",[],https://twitter.com/CharliWeb3/status/1626999197106073600,False,,0,,,,,,,,"[{'screen_name': 'goddeketal', 'name': 'Dr. Simon Goddek', 'id': '1224185690713460736'}]",,,,
1626912880091078656,1626912880091078656,2023-02-18 17:23:51 IST,2023-02-18,17:23:51,+0530,84604038,allianzireland,Allianz Ireland,,A huge thank you to everyone who supported the #StandStrong movement and to the 600+ people who joined us and @Womens_Aid in Bray on the 6th Feb to take a stand against the issue of domestic abuse. Mark your calendars for 2024!  https://t.co/HWROGnCS5S  https://t.co/D8imIyRlBW,en,"[{'screen_name': 'womens_aid', 'name': ""women's aid ireland"", 'id': '44591137'}]",['http://www.standstrong.ie'],[],1,0,0,['standstrong'],[],https://twitter.com/AllianzIreland/status/1626912880091078656,False,,1,https://pbs.twimg.com/amplify_video_thumb/1626912791964659713/img/G_L--IcNiIEfGq_6.jpg,,,,,,,[],,,,
1626658489085861889,1626658489085861889,2023-02-18 00:33:00 IST,2023-02-18,00:33:00,+0530,43173060,nfrw,NFRW,,"NFRW President Eileen Sobjack  had the privilege to hear from Governor Kristi Noem on her leading in South Dakota regarding China. President Sobjack encourages us to be leaders too. Get involved, be informed &amp; move ideas into plans of actions.  #Standstrong #NFRWLeads  https://t.co/zNgeMvxUaL",en,[],[],['https://pbs.twimg.com/media/FpL-ADCakAAvdSU.jpg'],0,2,6,"['standstrong', 'nfrwleads']",[],https://twitter.com/NFRW/status/1626658489085861889,False,,1,https://pbs.twimg.com/media/FpL-ADCakAAvdSU.jpg,,,,,,,[],,,,
1626625165764227073,1626625165764227073,2023-02-17 22:20:35 IST,2023-02-17,22:20:35,+0530,940708494327603200,mr_larryspin,Call.me LM,,"Na God say make I no dey allergic to garri, eyes for don see shege 😂  #Standstrong #gistlover #Brymo #Buhari #CBN #Emefiele #Nigeria",en,[],[],[],0,0,0,"['standstrong', 'gistlover', 'brymo', 'buhari', 'cbn', 'emefiele', 'nigeria']",[],https://twitter.com/mr_larryspin/status/1626625165764227073,False,,0,,,,,,,,[],,,,
1626557952986316802,1626557952986316802,2023-02-17 17:53:30 IST,2023-02-17,17:53:30,+0530,1611869898644267013,popeofafrica1,pope of africa,,"Never let a day pass you by without doing something Positive, greatness doesn't come easy.its a process,slow buh steady makes it a success at the end of it all.keep moving for we are getting there. #standstrong. #dontbediscouraged.                   @popeofafrica1",en,"[{'screen_name': 'popeofafrica1', 'name': 'pope of africa', 'id': '1611869898644267013'}]",[],[],0,1,2,"['standstrong', 'dontbediscouraged']",[],https://twitter.com/popeofafrica1/status/1626557952986316802,False,,0,,,,,,,,[],,,,
1626388794936299520,1625963660370907138,2023-02-17 06:41:20 IST,2023-02-17,06:41:20,+0530,865738675488948225,adrians81012897,Marie Louise Jones,,@Keating411yaho2 @KeithOlbermann Texas carries itself so all you have to worry about is defending an invasion… #StandStrong #NoFederalHandouts  https://t.co/Xy0Kc48FUE,en,[],[],['https://pbs.twimg.com/media/FpIX_O6agAEKPet.jpg'],0,0,0,"['standstrong', 'nofederalhandouts']",[],https://twitter.com/AdrianS81012897/status/1626388794936299520,False,,1,https://pbs.twimg.com/media/FpIX_O6agAEKPet.jpg,,,,,,,"[{'screen_name': 'Keating411yaho2', 'name': 'MAGA Texan', 'id': '863477388197281792'}, {'screen_name': 'KeithOlbermann', 'name': 'Keith Olbermann', 'id': '130617778'}]",,,,
1626367041736146946,1626284533401133057,2023-02-17 05:14:53 IST,2023-02-17,05:14:53,+0530,347122343,pamela_manley,pamela manley,,@MisterHBrown Call it out for what it is a 1% rise! Well said #standstrong #PayAttention,en,[],[],[],0,0,1,"['standstrong', 'payattention']",[],https://twitter.com/pamela_manley/status/1626367041736146946,False,,0,,,,,,,,"[{'screen_name': 'MisterHBrown', 'name': 'Mr. Brown is on strike', 'id': '1526863917082984449'}]",,,,
1626242712100913152,1626127407592734721,2023-02-16 21:00:51 IST,2023-02-16,21:00:51,+0530,1618409884583698433,kingharmlessgd,King harmless(Godfather),,"@Ebuka Can I motivate you all? No matter the kind shege wey u don see, someone out there has seen worst... Be strong for more shege is ahead #Standstrong",en,[],[],[],0,0,0,['standstrong'],[],https://twitter.com/KingharmlessGD/status/1626242712100913152,False,,0,,,,,,,,"[{'screen_name': 'Ebuka', 'name': 'Ebuka Obi-Uchendu', 'id': '18378475'}]",,,,
1626048076782702599,1626026406659473409,2023-02-16 08:07:26 IST,2023-02-16,08:07:26,+0530,4782497781,heliosxdg,Helios,,"@KINGMANIACHQ you're the sun shining above, and I am the moon watching your back in the stars, just because we can't be together at the same doesn't mean we aren't scorpion brothers #standstrong #staystrong #scorpionS33  https://t.co/SkeEGEAqqr",en,[],[],['https://pbs.twimg.com/media/FpDh3IYWcAAWrtV.jpg'],1,0,5,"['standstrong', 'staystrong', 'scorpions33']",[],https://twitter.com/HeliosXDG/status/1626048076782702599,False,,1,https://pbs.twimg.com/media/FpDh3IYWcAAWrtV.jpg,,,,,,,"[{'screen_name': 'KINGMANIACHQ', 'name': 'リザードキング', 'id': '4903605857'}]",,,,
1626026938723627011,1626026938723627011,2023-02-16 06:43:26 IST,2023-02-16,06:43:26,+0530,1572217473189003265,iam__jaytee,JAY Republic 🐲,,"@davido im missing you ASF...So sorry for your loss tho,i'm missing the taste of your songs in ma ears😩 #STANDSTRONG brother I MISS YOU MY GEE🥺❤️",en,[],[],[],0,0,0,['standstrong'],[],https://twitter.com/iam__jaytee/status/1626026938723627011,False,,0,,,,,,,,[],,,,
1625977595312369664,1625977595312369664,2023-02-16 03:27:22 IST,2023-02-16,03:27:22,+0530,1702838004,douglasnord,Douglas Nord,,"@JaniceDean you are awesome.  I have been listening to ""I am the Storm"" on Audible.  Great job!   #StandStrong #iAmtheStorm",en,[],[],[],0,0,0,"['standstrong', 'iamthestorm']",[],https://twitter.com/DouglasNord/status/1625977595312369664,False,https://twitter.com/JaniceDean/status/1625846785943162887,0,,,,,,,,[],,,,
1625954109344911362,1625954109344911362,2023-02-16 01:54:03 IST,2023-02-16,01:54:03,+0530,68220764,runningwater,Running Water,,"Be a #ForceOfNature, #StandStrong, #BeBold and #TakeHeart ALL who #HOPE!  Psalm 31:24.   #YouAreWorthy! 🥰❤️🙌  https://t.co/kP2ehtRFC2",en,[],[],"['https://pbs.twimg.com/media/FpCMpDWXEAQjrvZ.jpg', 'https://pbs.twimg.com/media/FpCMpToXEBQESYR.jpg']",0,0,0,"['forceofnature', 'standstrong', 'bebold', 'takeheart', 'hope', 'youareworthy']",[],https://twitter.com/RunningWater/status/1625954109344911362,False,,1,https://pbs.twimg.com/media/FpCMpDWXEAQjrvZ.jpg,,,,,,,[],,,,
1625905619869007872,1625615113444290560,2023-02-15 22:41:22 IST,2023-02-15,22:41:22,+0530,433813281,soggybottom22,WickedSon,,@MatthewWielicki @mmfa Boy they really are set on attacking you @MatthewWielicki you must be a real threat to the established narrative!! We greatly appreciate your dedication to science and facts! 🫡 #standstrong #ClimateScam #ClimateEmergency #climatebrawl #ClimateIntegrity,en,"[{'screen_name': 'matthewwielicki', 'name': 'dr. matthew m. wielicki', 'id': '1324336290159071232'}]",[],[],0,1,2,"['standstrong', 'climatescam', 'climateemergency', 'climatebrawl', 'climateintegrity']",[],https://twitter.com/SoggyBottom22/status/1625905619869007872,False,,0,,,,,,,,"[{'screen_name': 'MatthewWielicki', 'name': 'Dr. Matthew M. Wielicki', 'id': '1324336290159071232'}, {'screen_name': 'mmfa', 'name': 'Media Matters', 'id': '13493302'}]",,,,
